District,Thana,SubOffice,Postcode
Bagherhat,Bagerhat Sadar,Bagerhat Sadar,9300
Bagherhat,Bagerhat Sadar,P.C College,9301
Bagherhat,Bagerhat Sadar,Rangdia,9302
Bagherhat,Chalna Ankorage,Chalna Ankorage,9350
Bagherhat,Chalna Ankorage,Mongla Port,9351
Bagherhat,Chitalmari,Barabaria,9361
Bagherhat,Chitalmari,Chitalmari,9360
Bagherhat,Fakirhat,Bhanganpar Bazar,9372
Bagherhat,Fakirhat,Fakirhat,9370
Bagherhat,Fakirhat,Mansa,9371
Bagherhat,Kachua UPO,Kachua,9310
Bagherhat,Kachua UPO,Sonarkola,9311
Bagherhat,Mollahat,Charkulia,9383
Bagherhat,Mollahat,Dariala,9382
Bagherhat,Mollahat,Kahalpur,9381
Bagherhat,Mollahat,Mollahat,9380
Bagherhat,Mollahat,Nagarkandi,9384
Bagherhat,Mollahat,Pak Gangni,9385
Bagherhat,Morelganj,Morelganj,9320
Bagherhat,Morelganj,Sannasi Bazar,9321
Bagherhat,Morelganj,Telisatee,9322
Bagherhat,Rampal,Foylahat,9341
Bagherhat,Rampal,Gourambha,9343
Bagherhat,Rampal,Rampal,9340
Bagherhat,Rampal,Sonatunia,9342
Bagherhat,Rayenda,Rayenda,9330
Bandarban,Alikadam,Alikadam,4650
Bandarban,Bandarban Sadar,Bandarban Sadar,4600
Bandarban,Naikhong,Naikhong,4660
Bandarban,Roanchhari,Roanchhari,4610
Bandarban,Ruma,Ruma,4620
Bandarban,Thanchi,Lama,4641
Bandarban,Thanchi,Thanchi,4630
Barguna,Amtali,Amtali,8710
Barguna,Bamna,Bamna,8730
Barguna,Barguna Sadar,Barguna Sadar,8700
Barguna,Barguna Sadar,Nali Bandar,8701
Barguna,Betagi,Betagi,8740
Barguna,Betagi,Darul Ulam,8741
Barguna,Patharghata,Kakchira,8721
Barguna,Patharghata,Patharghata,8720
Barishal,Agailzhara,Agailzhara,8240
Barishal,Agailzhara,Gaila,8241
Barishal,Agailzhara,Paisarhat,8242
Barishal,Babuganj,Babuganj,8210
Barishal,Babuganj,Barishal Cadet,8216
Barishal,Babuganj,Chandpasha,8212
Barishal,Babuganj,Madhabpasha,8213
Barishal,Babuganj,Nizamuddin College,8215
Barishal,Babuganj,Rahamatpur,8211
